Transactions,Blocks,Output_Satoshis,anomaly
164,14303,449033.5845,0
141,15722,393176.491,0
153,16628,392406.172,0
155,15206,363660.1583,0
140,15820,410308.256,0
150,16119,345430.7786,0
139,14126,275751.5701,0
175,17118,436695.3789,0
157,15674,442201.4171,0
128,15501,377649.7613,0
150,16244,403258.4784,0
145,15611,364501.0972,0
164,14632,307330.2574,0
136,12817,276740.4402,0
170,15019,289067.1572,0
139,16559,384665.6377,0
148,18292,422796.0505,0
138,15313,421377.3322,0
141,14760,360852.3027,0
145,14708,254713.2648,0
167,15363,351192.8499,0
172,14990,333595.6782,0
150,16176,345237.7077,0
141,15972,435407.6148,0
159,17550,376869.1726,0
158,17461,385849.423,0
157,16531,366071.348,0
142,16050,346103.094,0
146,14087,324839.7678,0
137,15930,321202.6706,0
145,17238,309649.2248,0
145,17577,276583.0172,0
138,18681,323286.8601,0
150,17373,458101.2121,0
158,17621,326236.931,0
137,19323,428908.0905,0
138,21928,1352875.865,0
134,21520,1344784.086,0
138,21873,1606238.081,0
152,15005,980044.443,0
171,16460,705524.7506,0
158,15405,396081.7027,0
140,15254,436470.0407,0
129,15026,394178.9914,0
159,17360,787405.7135,0
166,19504,692032.4885,0
149,17535,582589.0271,0
165,16300,422153.7952,0
150,14540,347126.3854,0
154,16440,377087.2734,0
160,17231,378837.633,0
179,17312,338421.948,0
151,16032,665437.8012,0
134,18989,566902.2281,0
113,13287,386748.7411,0
137,17653,685564.112,0
145,18469,381113.997,0
137,16349,362054.0944,0
154,17234,381751.5994,0
156,17707,528367.6359,0
168,17520,598061.396,0
165,14063,392855.665,0
134,13866,431371.2054,0
166,16988,606233.9746,0
160,18245,534531.9264,0
137,17154,611616.6004,0
121,15556,492864.2161,0
153,17476,508432.0258,0
170,17327,468179.5611,0
160,15149,379449.6437,0
143,15715,458988.892,0
160,16057,502954.4242,0
158,17732,515344.0297,0
158,17088,761881.519,0
126,14964,899181.8359,0
184,16145,821417.768,0
157,15160,423949.8653,0
151,16254,535238.1318,0
156,17094,575018.415,0
150,18381,691100.7649,0
141,18051,1205888.066,0
154,17656,988434.3593,0
170,15545,883701.6333,0
142,14641,623404.5748,0
116,15111,703032.1475,0
133,17522,824059.658,0
137,17041,767659.1452,0
117,16255,943391.5058,0
136,15828,591961.5428,0
129,15082,347464.7823,0
150,15412,1263160.479,0
146,16039,1642155.445,0
147,20449,830066.565,0
141,18813,1518655.987,0
127,19398,1285753.94,0
123,17653,837527.9067,0
139,19534,997458.4373,0
107,17304,1278078.632,0
150,21042,1619772.032,0
135,18744,1139507.176,0
130,20303,1039840.075,0
157,18577,694079.6734,0
154,19632,2864389.57,0
154,17096,1227983.957,0
140,15540,954638.2594,0
135,17381,784560.5998,0
138,18844,749693.4413,0
127,18707,1018495.213,0
155,23511,1857826.468,0
135,17689,1467996.927,0
152,18412,889247.3966,0
179,18840,989035.5879,0
179,22508,1104689.061,0
170,24968,1090850.284,0
150,23224,1083940.565,0
157,32186,1216898.066,0
161,32470,1126674.244,0
167,30118,1204600.832,0
164,26675,658919.7296,0
170,40972,2193131.724,0
176,40031,3898869.82,0
166,38562,2356469.564,0
129,26195,1200673.555,0
143,41602,1539746.739,0
128,39554,3202564.879,0
140,33061,1509618.599,0
139,60905,2306925.084,0
130,48447,3742452.936,0
121,40122,3437743.036,0
116,38832,3456116.181,0
145,53046,1876206.406,0
149,75313,1232620.027,0
138,67456,2019018.753,0
126,68417,3818667.697,0
115,51377,4062364.558,0
130,60318,1806509.401,0
125,58459,1128648.658,0
121,62514,2438067.357,0
142,50884,4831935.953,0
159,56859,2022237.628,0
142,64725,2137076.191,0
126,64412,3168985.413,0
131,56634,2390970.271,0
138,47871,4791320.629,0
152,60350,2969598.765,0
160,30391,1991194.05,0
153,72633,1731492.364,0
155,97178,4645313.15,0
147,94316,4534755.435,0
153,36468,2509554.331,0
139,70830,4841143.674,0
141,53754,5462839.526,0
171,71784,1394282.355,0
166,87215,3292536.178,0
140,71219,3044013.954,0
156,45874,2589635.925,0
150,123815,2431812.849,0
156,138068,4838045.593,0
159,120938,3468722.514,0
156,95124,3900349.196,0
164,99861,1415383.942,0
175,87377,2517870.835,0
147,82133,2119402.774,0
145,78498,1715715.337,0
136,63779,1046386.108,0
138,55611,2275711.504,0
164,53976,3023872.819,0
131,50967,1899076.407,0
154,65196,1818923.143,0
149,69480,1725291.611,0
163,71255,1988365.309,0
137,60199,3474911.565,0
146,51397,2525130.747,0
132,50724,1395567.693,0
142,43286,1346647.646,0
152,55978,1191336.146,0
160,51477,1440331.342,0
150,54243,2279526.87,0
144,50527,2016864.679,0
155,54122,1381458.229,0
166,55591,4127597.199,0
153,46744,826735.0948,0
163,56730,2132703.22,0
150,77306,2170880.381,0
134,70321,1155039.089,0
150,53485,1393225.539,0
163,57331,2479292.883,0
161,50978,2473988.399,0
140,58360,1363199.768,0
150,71150,2110624.769,0
172,77240,2532795.225,0
155,71862,1599655.318,0
135,70836,1228132.221,0
148,84755,1647322.176,0
141,77123,2380759.939,0
155,75077,1716136.989,0
141,70843,2170034.042,0
161,63346,1750237.938,0
160,62495,1024844.926,0
169,68524,2318516.042,0
178,60503,2180746.832,0
153,78512,1742182.227,0
166,75186,1109812.681,0
176,74255,979401.9657,0
130,88632,2974358.704,0
134,66873,2272795.164,0
165,72222,1792453.022,0
162,60905,1431240.183,0
156,64536,1413394.372,0
139,71168,1975735.428,0
140,76109,1995321.801,0
164,65121,1962914.296,0
166,87041,1663888.8,0
170,65667,1453200.807,0
156,63413,1680986.286,0
168,71524,1575641.261,0
159,78633,1616952.229,0
160,113606,1881743.975,0
157,78152,1518953.173,0
167,121504,1789685.956,0
154,97598,2075711.645,0
138,85167,2780903.167,0
151,77441,2154735.39,0
182,78825,5931168.237,0
174,78060,9594904.589,0
173,92660,5481598.728,0
156,81360,7756104.557,0
165,70630,7638815.716,0
148,70314,11064106.02,0
138,71525,4400537.453,0
179,64505,3331598.206,0
145,71241,6317082.625,0
151,69389,6796522.213,0
168,74111,14702323.79,0
154,71876,11585110.83,0
140,87364,8982904.492,0
161,88545,8746895.338,0
164,75567,5968122.588,0
157,82490,3714021.956,0
153,89149,6484795.367,0
180,89376,9277781.792,0
171,92425,21877517.27,0
168,73078,18411825.08,0
145,69585,7584282.223,0
159,69666,3899432.335,0
150,75215,18885869.63,0
145,87458,20228603.98,0
155,67025,10847443.67,0
130,68249,22554539.96,0
162,85325,18031417.3,0
144,62772,6923687.503,0
161,68266,14008370.58,0
168,57716,13061001.17,0
167,76016,12984463.33,0
141,75078,31325866.37,0
152,72273,15908406.79,0
169,70983,25902484.29,0
157,54619,14874052.14,0
158,69162,7816618.258,0
153,68250,8117048.827,0
139,58168,1777419.047,0
140,75726,1737748.155,0
161,69386,1379102.897,0
158,81061,2598231.543,0
168,60944,1302616.358,0
159,56308,1440029.627,0
131,75684,1625076.237,0
146,74601,2006735.601,0
133,64266,1259635.635,0
131,76197,1195762.551,0
136,86472,2635513.828,0
155,79258,1977786.457,0
125,88713,1787096.366,0
178,95694,1776535.428,0
142,88365,1364213.98,0
149,78887,879149.4437,0
138,69684,1246301.999,0
149,77326,2612813.636,0
148,83626,2711467.039,0
127,73362,1386647.67,0
169,79361,864684.7227,0
155,88722,2748990.451,0
142,84711,3334767.158,0
157,76660,3397926.993,0
135,65355,2692841.969,0
158,79258,2695742.258,0
161,100977,2354724.07,0
157,102007,2267653.183,0
130,81702,2607540.366,0
162,85107,1904593.641,0
143,67158,1462862.327,0
165,58497,1038024.254,0
175,45075,1686595.095,0
166,48080,941882.0401,0
158,56761,1015491.502,0
143,75375,4170129.204,0
144,68479,3787017.538,0
137,59404,2615517.503,0
143,71622,878438.8583,0
146,61256,1912720.781,0
157,59134,2247532.79,0
160,79895,2302743.589,0
135,78033,1895933.058,0
157,86420,1854321.088,0
154,80990,1329985.176,0
152,66194,871909.512,0
144,66017,438620.1766,0
147,59564,423492.02,0
132,59457,485575.0448,0
140,63963,854362.5147,0
143,71809,1299843.877,0
136,88300,2661089.93,0
145,91688,3704500.187,0
140,117881,2648679.67,0
146,82378,2064001.39,0
146,86890,1391564.739,0
147,87944,1572790.856,0
152,92979,926696.9899,0
144,77103,1442437.425,0
163,82953,1140048.664,0
151,73395,1179016.922,0
146,87482,810454.8827,0
157,85996,1134762.018,0
148,68144,1431090.114,0
172,90213,1891268.837,0
166,87851,1210830.357,0
125,72601,789652.1925,0
167,79316,628526.6533,0
143,52959,1012070.134,0
147,53616,1732242.633,0
112,76341,2489158.497,0
122,79012,2821654.366,0
137,89391,3259297.247,0
129,71997,2083190.927,0
138,76697,1008269.918,0
126,72935,1406703.823,0
143,92834,1037451.354,0
144,95295,1614011.872,0
130,86624,3564199.866,0
131,95183,3839017.049,0
106,90953,2928410.727,0
116,75230,1657365.639,0
111,85549,1782516.039,0
134,96811,1800835.938,0
125,125859,2372973.196,0
142,99930,1137275.067,0
106,81434,935760.4312,0
126,95865,1664907.966,0
153,114963,1402903.979,0
122,86707,869430.5681,0
132,85108,1065971.688,0
124,69602,604804.0304,0
154,86156,632401.3973,0
156,103079,814543.8785,0
169,112389,1076612.312,0
144,93261,994091.686,0
166,105795,764608.9394,0
158,74607,1369985.742,0
162,78996,1491978.946,0
153,95666,1947296.243,0
162,95841,1742042.555,0
153,111607,2328536.904,0
141,93262,2100349.698,0
145,81489,1101232.44,0
168,95629,1492637.939,0
133,90430,2147948.019,0
130,98575,1720210.148,0
147,121138,1335111.591,0
117,117964,1332342.543,0
122,104393,980520.6655,0
133,109688,886111.6136,0
157,101155,1119697.552,0
121,106031,2092810.835,0
131,120231,2235038.364,0
111,110022,1828926.938,0
121,112631,1655101.042,0
154,125541,1542714.33,0
130,94910,1199630.763,0
132,91873,1152751.458,0
144,100734,1463697.92,0
126,111461,2413364.583,0
156,107510,1616949.958,0
137,111705,1564347.828,0
156,119777,1344171.746,0
151,126597,1471814.589,0
147,127512,1690349.016,0
158,122716,2426699.949,0
153,97156,2692071.856,0
193,120224,1589397.754,0
147,136102,1813676.667,0
153,121775,1354020.583,0
186,139521,1389161.48,0
164,126713,2012536.759,0
167,122146,2006309.533,0
146,99446,1860603.343,0
154,137817,1728717.485,0
151,136224,2189719.727,0
143,130359,1816284.604,0
161,127167,1370569.589,0
159,131583,1328240.583,0
139,131729,1273851.458,0
171,134620,1221054.836,0
151,114829,1502365.262,0
179,126934,1285435.34,0
189,122683,1268206.336,0
188,121106,1145511.757,0
161,119598,1236821.97,0
159,127053,1456405.96,0
193,139946,1200831.678,0
176,127322,1050131.202,0
170,144169,1578721.332,0
164,133221,1283683.587,0
156,128666,1707485.583,0
204,153264,1869807.172,0
166,146211,1633163.913,0
193,143148,1537173.62,0
168,147950,1485857.841,0
152,151654,1647857.637,0
145,129340,1496205.839,0
161,128312,934113.4728,0
179,147372,979042.0445,0
139,130099,1938816.935,0
155,143563,2323920.566,0
160,152474,1659536.989,0
160,129132,1209131.415,0
169,127533,1024157.179,0
183,174487,1241733.734,0
164,141983,1007494.524,0
135,121796,1491939.383,0
157,137446,1505965.843,0
179,145612,1188984.013,0
172,163105,5346419.926,0
175,103294,2307843.528,0
209,91063,901237.4786,0
190,106946,3770851.664,0
170,112478,1944707.418,0
211,115972,1888210.075,0
218,138961,2041885.323,0
229,152617,1520085.09,0
217,137255,1438447.33,0
189,132249,995637.7477,0
144,126028,1544997.611,0
151,134613,1848864.387,0
131,133985,2738105.106,0
183,158219,1826700.758,0
174,160125,1460447.794,0
173,145873,1823180.658,0
169,120977,1540937.818,0
198,149296,1449066.351,0
181,174895,2588519.047,0
175,181374,2371324.932,0
154,186163,2292667.711,0
158,165155,2062457.642,0
163,146818,1333262.487,0
164,175995,1089589.664,0
155,181864,1528795.794,0
176,169453,2079535.47,0
191,169321,2880396.26,0
160,184962,2399992.466,0
173,159407,1774103,0
167,142291,1306301.945,0
153,153671,825566.1826,0
164,171602,1049837.794,0
177,182216,1769743,0
171,175376,1723555.436,0
147,122943,5846871.991,0
137,172867,1873867.481,0
154,139990,1097718.372,0
176,130316,983216.8254,0
153,153175,1649760.891,0
168,169007,1580194.389,0
162,189039,2164362.812,0
172,175841,1637341.369,0
171,160999,1179467.682,0
147,135165,808262.6565,0
177,173840,579461.8822,0
174,166534,1889559.779,0
149,146931,1003343.628,0
151,151991,1350721.891,0
134,157671,907309.085,0
137,144723,809308.004,0
159,171517,504688.3552,0
165,153342,638182.8299,0
166,168310,858406.0152,0
168,190787,973835.119,0
165,181575,832093.7627,0
164,180398,695397.0385,0
172,205059,915183.6766,0
182,196327,675124.7525,0
168,182638,562565.7028,0
174,181564,1122091.966,0
154,183055,784332.1776,0
141,180323,752790.9071,0
148,194616,723462.4396,0
161,152342,853440.7499,0
149,134039,748211.0092,0
156,128588,423542.7313,0
129,152013,540663.9554,0
151,154445,674482.9495,0
156,143925,738074.8591,0
174,155659,712349.955,0
169,149150,759741.6814,0
165,131655,735659.2725,0
163,122586,388698.0303,0
176,148213,666608.3738,0
158,144531,705680.5313,0
168,144182,793664.2946,0
179,149719,629587.8097,0
175,137220,678617.7783,0
213,138794,485579.4044,0
199,130766,431875.3386,0
213,142959,780446.2365,0
213,144826,661631.301,0
184,156341,681339.3644,0
181,134707,753930.8786,0
161,127092,678143.2676,0
181,117031,399038.3557,0
159,108736,675161.0303,0
174,109778,490545.1299,0
180,124589,598337.2909,0
203,116494,562038.78,0
186,108891,607556.9546,0
180,120041,722485.1902,0
173,84826,415381.8108,0
185,99649,520682.4419,0
145,108704,578844.9641,0
140,105594,643222.1557,0
136,114033,582605.7976,0
154,120423,728607.9748,0
168,110297,712791.5282,0
176,107143,435026.7321,0
165,90080,340381.4544,0
150,105503,610053.0423,0
157,102696,717288.4712,0
174,111174,627165.9003,0
167,108768,564885.2214,0
169,116153,659916.0797,0
169,102604,532545.4665,0
153,77094,414309.7617,0
157,94321,868945.4266,0
153,93491,735821.5744,0
184,87911,817460.9062,0
165,84663,854939.2747,0
186,89605,1074563.291,0
187,79314,700586.2395,0
186,77434,643880.627,0
192,93722,837670.9308,0
185,97970,1160903.931,0
195,106626,1085169.05,0
174,111915,1058476.987,0
154,127694,1021508.47,0
157,94632,877018.0243,0
172,89571,582276.5472,0
164,91697,702810.6261,0
164,96775,951379.7685,0
184,96655,1080936.138,0
161,97226,1005895.895,0
171,89195,819430.5514,0
186,85517,495922.447,0
199,86178,496772.6106,0
165,93439,903335.2894,0
141,94148,1012489.367,0
159,104949,907645.6402,0
146,100704,811961.7466,0
164,89270,788332.0112,0
181,87186,461605.5251,0
168,88531,618903.8238,0
178,100252,747853.1195,0
197,99741,1007108.947,0
190,115151,863767.5597,0
177,150431,1147305.425,0
192,118545,913464.1109,0
170,104519,676761.174,0
179,99687,510656.3113,0
189,119396,851665.9579,0
190,123467,760801.1325,0
186,133558,813434.5173,0
205,131024,725445.1482,0
195,113758,621565.7682,0
210,121316,517054.8433,0
216,89501,429554.2293,0
216,142011,847386.8341,0
183,115800,1301581.439,0
168,115770,1341894.853,0
170,138975,821528.5496,0
168,155254,1073581.796,0
190,126488,1006280.918,0
194,129247,787710.9407,0
177,158919,1115101.02,0
190,144404,972227.213,0
196,136776,1275639.297,0
216,150574,823544.6766,0
196,127150,826429.8585,0
183,120071,567935.8938,0
151,103684,555654.047,0
166,127727,707687.3929,0
169,142057,910293.5517,0
178,148590,784253.7602,0
189,134381,2639151.65,0
205,144389,831648.3349,0
223,129635,878729.174,0
221,111569,823389.1155,0
215,120104,813920.621,0
194,118803,949784.9403,0
163,121498,912174.7134,0
179,136698,887243.6611,0
185,140378,701587.7054,0
145,121246,629569.9295,0
157,107090,398165.8505,0
203,129593,1030766.757,0
191,122891,645379.1505,0
200,116004,831685.544,0
213,126600,703128.1011,0
204,110749,654237.8652,0
218,104349,572122.2833,0
181,127316,403507.5482,0
154,122743,678260.9667,0
179,153242,627615.1854,0
165,140320,806994.2698,0
190,139143,833883.7812,0
200,140942,734309.0159,0
189,126571,452074.3134,0
203,123592,495219.3831,0
210,152860,1001051.601,0
212,147124,949071.8654,0
206,132755,827286.0877,0
162,134690,745552.0808,0
178,114767,690114.8516,0
177,103142,533432.6992,0
170,101786,554128.0153,0
163,115037,826774.0367,0
187,140505,1088077.936,0
191,148072,1187078.864,0
199,143553,927030.8009,0
180,126713,802173.6907,0
219,112553,448746.4071,0
185,103300,419308.2664,0
156,114237,688597.9799,0
161,117466,720282.9121,0
179,122663,904684.561,0
192,137435,753238.3641,0
185,123347,829546.5766,0
214,119054,697904.0551,0
221,137018,712638.693,0
250,141787,920794.5864,0
260,133591,924504.8133,0
210,129273,1022744.337,0
167,115779,847370.7277,0
192,138497,937574.9651,0
223,139711,1007342.932,0
199,126030,722759.7607,0
211,150083,1059197.274,0
245,166249,1207623.105,0
221,146293,1090723.874,0
215,159302,1029103.303,0
235,145819,2817468.477,0
182,118978,686765.4694,0
179,109323,509803.6489,0
175,123988,645713.4671,0
160,122840,1686428.347,0
195,128273,717093.1601,0
211,150881,685268.253,0
208,117133,636845.8532,0
202,103851,649240.3649,0
192,101254,593816.3635,0
195,120094,974062.7146,0
174,136989,1115521.378,0
163,141924,916641.1745,0
144,151033,1211667.364,0
134,149257,1071531.007,0
148,147229,900392.5,0
171,149595,801259.5681,0
187,148457,748279.4896,0
201,156124,1109036.94,0
168,161928,1267483.082,0
183,176971,1155028.594,0
166,158685,2576469.358,0
194,131447,1491006.283,0
186,136318,1158208.923,0
156,197985,2124183.596,0
161,230927,2269134.472,0
164,195262,1690347.12,0
150,182606,2192970.79,0
172,201448,2393219.997,0
170,185569,1533323.423,0
168,156800,1518872.511,0
173,180108,1449270.803,0
159,211903,4028498.095,0
173,231585,3323866.014,0
181,239393,3418563.354,0
173,220122,2602929.477,0
176,194496,1866753.034,0
195,181194,1494457.363,0
159,195691,1424490.905,0
200,200251,1190034.162,0
171,205857,1348811.582,0
170,209808,1550468.126,0
208,194041,1163609.989,0
195,178272,2357745.29,0
195,135696,1219503.569,0
176,181522,1216713.743,0
192,176868,837532.2577,0
165,177329,1113758.034,0
163,155747,915052.3852,0
174,169360,914506.243,0
198,151878,620226.5944,0
177,145881,462646.4294,0
201,200394,2092813.087,0
203,186643,1586643.438,0
199,210013,1996820.806,0
226,187153,1364026.925,0
178,167631,940326.3079,0
161,154780,977633.7192,0
169,146823,920403.1395,0
171,179749,722235.1938,0
169,157841,886524.55,0
162,157533,878219.3138,0
180,149496,620433.4836,0
184,153713,606017.945,0
150,137134,614290.1353,0
168,142678,837535.4318,0
173,181200,814654.6426,0
184,143237,508295.9641,0
205,126484,538983.2921,0
134,153861,709298.4927,0
161,166839,897783.4574,0
141,140143,635106.0756,0
193,160553,934422.9438,0
186,200229,997845.849,0
177,171949,924867.9333,0
193,178553,799048.9549,0
207,163842,597510.9776,0
187,154089,569351.6095,0
210,160323,425028.4018,0
207,146657,421547.0147,0
169,179728,529745.6572,0
162,153584,749007.4999,0
184,169579,605639.3432,0
185,159016,605276.8482,0
152,167279,426181.2177,0
174,139214,357883.1801,0
169,132389,567071.2878,0
195,208019,784430.3026,0
166,193816,622105.8079,0
192,185141,493075.8964,0
177,177189,512798.0315,0
189,179847,747873.4575,0
165,150854,463780.2737,0
152,148573,399122.9784,0
174,200613,907240.1301,0
154,181141,648369.537,0
152,164994,485524.8548,0
176,175024,531188.2026,0
184,177338,409190.8842,0
189,165634,452663.5986,0
186,157863,492688.4158,0
181,197060,482423.6523,0
172,208265,793134.5418,0
168,203498,800217.0139,0
182,210441,664620.6977,0
155,198934,867398.6648,0
182,191722,569456.792,0
138,163716,491172.0022,0
156,198792,802093.1248,0
164,172507,701410.5387,0
178,172168,619251.5189,0
178,196981,646304.3605,0
191,222479,729124.975,0
187,181290,963648.9787,0
195,156984,628651.4744,0
155,201453,505521.0846,0
163,196240,501226.9223,0
200,221129,461038.0478,0
177,218667,563356.8615,0
152,212994,521821.9331,0
180,185688,401810.9719,0
168,194251,415338.3479,0
191,256989,776198.313,0
161,240548,1091107.016,0
184,227926,697463.1569,0
188,221110,578796.5016,0
181,207522,593174.3946,0
144,203479,824438.3758,0
140,185198,555305.9434,0
148,275669,1068743.367,0
149,272021,1026802.034,0
156,229409,688295.9949,0
173,228184,629317.3273,0
166,220926,2470773.459,0
168,199405,1585837.166,0
179,207368,947172.404,0
149,238452,1521682.947,0
168,226425,988209.0464,0
182,230676,1058791.468,0
162,227736,767859.0098,0
133,193216,628708.136,0
165,167088,585263.3653,0
171,167380,389239.4382,0
161,209277,555550.2054,0
146,146773,2645634.241,0
160,197577,1107106.062,0
177,199417,684384.7819,0
186,214166,603562.3777,0
170,193262,420925.0432,0
214,181968,337434.3697,0
188,237775,675804.2103,0
157,206907,548070.4505,0
159,207076,521418.6761,0
173,214499,792964.8434,0
174,210541,827702.7215,0
175,178362,401860.0241,0
140,209870,601591.0738,0
180,199380,750539.6659,0
171,203308,687092.9129,0
197,206956,755860.8975,0
204,177115,789006.9323,0
195,206928,670524.7814,0
171,178344,731651.0799,0
151,212204,443646.5486,0
151,197692,467993.2299,0
134,204145,460051.0422,0
